BG Strategy,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,TRONformer
S0,249.26771152703049,235.68828436732088,256.6346092346904,271.046721714396,268.9479480066618,278.8760323368056,291.5120677182496,228.2013015921089,271.0204302041632,149.74957546579404,
S1,383.2921472117247,375.6921807938626,285.04664029251325,311.7782753916517,331.185341452991,377.68665729074985,371.4091413745083,333.2286035649884,376.1880956228429,224.24306879249215,
S2,186.8698033946288,206.25069017776232,177.0465804283738,191.43183335044185,261.07746329869326,264.7261932517259,312.58884131143685,265.25641042302374,288.09698655664295,167.88615653400052,
S3,355.25602983473766,391.7157676215992,324.355220942545,357.0544192217925,390.9222573954368,419.7302940258649,402.6157245836983,311.6708277089544,379.9952273379846,257.13708785526416,
S4,383.0345662689558,393.22518779114586,366.0505424998802,366.32898545638704,371.3961843065559,399.3036635695775,388.6940581177368,354.542322052423,383.89712938795,202.11420767215267,
S5,405.41881357709735,419.4396320705444,369.7322709954256,376.8976061946904,406.41012056676186,404.5210998962954,372.6231487345351,348.5472104086005,330.54950955942763,211.1012903920462,
S6,278.2118971675448,290.55763977199314,304.8142201860221,331.12330736465697,330.762685646739,321.4755006666888,331.1837475122913,325.7665529564158,287.65452995627294,160.0286133451983,
S7,506.8950044816774,517.0638577436063,504.63476575939904,499.43840716147656,519.1091328163274,485.6001400313461,457.2026187196178,340.98637858823605,443.8622303658549,258.92848531717783,
S8,348.86795018193465,390.403954218389,365.4582192363232,375.4801899073232,385.1999592197637,426.8853251509549,399.6239616399727,383.4599793941998,332.3007537163076,174.2223336439715,-282.9954939218983
S9,68.7918699206716,126.58472630650076,-3.735844892105873,78.22412061262108,102.4673302424638,178.1891409787851,205.1734288479756,195.62764134556187,205.4695885985648,60.22279533203185,
